# TEST CONFIGURATION BEGIN
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None)
# [HT] HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# [SK] SAMKNNClassifier(ltm_size=0.4, max_window_size=None, min_stm_size=50, n_neighbors=5, stm_size_option='maxACCApprox', use_ltm=True, weighting='distance')
# [HAT] HoeffdingAdaptiveTreeClassifier(binary_split=False, bootstrap_sampling=True, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# [ATF] AdaptiveRandomForestClassifier(binary_split=False, disable_weighted_vote=False, drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='nba', max_byte_size=33554432, max_features=6, memory_estimate_period=2000000, n_estimators=10, nb_threshold=0, no_preprune=False, nominal_attributes=None, performance_metric='acc', random_state=None, remove_poor_atts=False, split_confidence=0.01, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01))
# [AEE] AdditiveExpertEnsembleClassifier(base_estimator=NaiveBayes(nominal_attributes=None), beta=0.8, gamma=0.1, n_estimators=5, pruning='weakest')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=100000, max_time=inf, metrics=['accuracy'], n_wait=1000, output_file='abrupt_result.csv', pretrain_size=1000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[HT],current_acc_[HT],mean_acc_[SK],current_acc_[SK],mean_acc_[HAT],current_acc_[HAT],mean_acc_[ATF],current_acc_[ATF],mean_acc_[AEE],current_acc_[AEE]
1000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000
1999,0.525000,0.525000,0.655000,0.655000,0.649000,0.649000,0.732000,0.732000,0.490000,0.490000
2999,0.518500,0.512000,0.646500,0.638000,0.639000,0.629000,0.715500,0.699000,0.478000,0.466000
3999,0.523000,0.532000,0.644667,0.641000,0.636333,0.631000,0.717667,0.722000,0.472667,0.462000
4999,0.535750,0.574000,0.648000,0.658000,0.637750,0.642000,0.713750,0.702000,0.483750,0.517000
5999,0.530600,0.510000,0.644400,0.630000,0.637800,0.638000,0.712800,0.709000,0.480800,0.469000
6999,0.532000,0.539000,0.644167,0.643000,0.633333,0.611000,0.713667,0.718000,0.484000,0.500000
7999,0.538571,0.578000,0.645286,0.652000,0.637571,0.663000,0.716143,0.731000,0.489143,0.520000
8999,0.543500,0.578000,0.648750,0.673000,0.642750,0.679000,0.718000,0.731000,0.488750,0.486000
9999,0.548000,0.584000,0.649333,0.654000,0.646222,0.674000,0.717556,0.714000,0.488889,0.490000
10999,0.552900,0.597000,0.651600,0.672000,0.645400,0.638000,0.717200,0.714000,0.488600,0.486000
11999,0.557455,0.603000,0.652091,0.657000,0.646636,0.659000,0.718909,0.736000,0.490727,0.512000
12999,0.533750,0.273000,0.669333,0.859000,0.616667,0.287000,0.727083,0.817000,0.508083,0.699000
13999,0.503077,0.135000,0.694769,1.000000,0.571923,0.035000,0.748077,1.000000,0.534154,0.847000
14999,0.483286,0.226000,0.685929,0.571000,0.547500,0.230000,0.742643,0.672000,0.521357,0.355000
15999,0.467600,0.248000,0.679467,0.589000,0.552200,0.618000,0.736733,0.654000,0.501867,0.229000
16999,0.455313,0.271000,0.676625,0.634000,0.556813,0.626000,0.733313,0.682000,0.486875,0.262000
17999,0.442882,0.244000,0.678294,0.705000,0.558000,0.577000,0.726000,0.609000,0.474059,0.269000
18999,0.431722,0.242000,0.694389,0.968000,0.565389,0.691000,0.739667,0.972000,0.462833,0.272000
19999,0.429316,0.386000,0.693000,0.668000,0.572053,0.692000,0.741158,0.768000,0.462263,0.452000
20999,0.433000,0.503000,0.694300,0.719000,0.576000,0.651000,0.741750,0.753000,0.466350,0.544000
21999,0.435286,0.481000,0.696095,0.732000,0.579333,0.646000,0.742571,0.759000,0.469810,0.539000
22999,0.444955,0.648000,0.698455,0.748000,0.582773,0.655000,0.744364,0.782000,0.473273,0.546000
23999,0.452043,0.608000,0.699478,0.722000,0.586217,0.662000,0.745043,0.760000,0.475652,0.528000
24999,0.460333,0.651000,0.700250,0.718000,0.589500,0.665000,0.745833,0.764000,0.479167,0.560000
25999,0.467640,0.643000,0.701400,0.729000,0.592120,0.655000,0.747040,0.776000,0.481080,0.527000
26999,0.475385,0.669000,0.701577,0.706000,0.594192,0.646000,0.748231,0.778000,0.483923,0.555000
27999,0.480815,0.622000,0.700963,0.685000,0.595000,0.616000,0.747407,0.726000,0.484333,0.495000
28999,0.480321,0.467000,0.699036,0.647000,0.594500,0.581000,0.745321,0.689000,0.477464,0.292000
29999,0.480724,0.492000,0.698069,0.671000,0.594448,0.593000,0.745172,0.741000,0.469862,0.257000
30999,0.480267,0.467000,0.696233,0.643000,0.594033,0.582000,0.743800,0.704000,0.463800,0.288000
31999,0.481194,0.509000,0.695355,0.669000,0.595710,0.646000,0.744032,0.751000,0.457548,0.270000
32999,0.481375,0.487000,0.693594,0.639000,0.598250,0.677000,0.743500,0.727000,0.453437,0.326000
33999,0.477000,0.337000,0.689727,0.566000,0.594273,0.467000,0.736788,0.522000,0.453364,0.451000
34999,0.473676,0.364000,0.685912,0.560000,0.592941,0.549000,0.733176,0.614000,0.453471,0.457000
35999,0.470829,0.374000,0.682314,0.560000,0.592371,0.573000,0.730086,0.625000,0.453200,0.444000
36999,0.467944,0.367000,0.678472,0.544000,0.591083,0.546000,0.726972,0.618000,0.452361,0.423000
37999,0.466297,0.407000,0.674486,0.531000,0.590378,0.565000,0.724622,0.640000,0.452649,0.463000
38999,0.465816,0.448000,0.675316,0.706000,0.587921,0.497000,0.724711,0.728000,0.451658,0.415000
39999,0.466872,0.507000,0.674410,0.640000,0.585077,0.477000,0.722462,0.637000,0.450846,0.420000
40999,0.467325,0.485000,0.674750,0.688000,0.584425,0.559000,0.722800,0.736000,0.450725,0.446000
41999,0.467683,0.482000,0.675049,0.687000,0.583976,0.566000,0.723463,0.750000,0.450610,0.446000
42999,0.469214,0.532000,0.675714,0.703000,0.583167,0.550000,0.723929,0.743000,0.450262,0.436000
43999,0.470186,0.511000,0.676023,0.689000,0.581977,0.532000,0.724419,0.745000,0.449395,0.413000
44999,0.471477,0.527000,0.676500,0.697000,0.581250,0.550000,0.724727,0.738000,0.449636,0.460000
45999,0.472889,0.535000,0.677933,0.741000,0.580778,0.560000,0.725978,0.781000,0.449489,0.443000
46999,0.475478,0.592000,0.678783,0.717000,0.582261,0.649000,0.725152,0.688000,0.450109,0.478000
47999,0.480596,0.716000,0.682638,0.860000,0.586170,0.766000,0.728766,0.895000,0.450532,0.470000
48999,0.486063,0.743000,0.686250,0.856000,0.590604,0.799000,0.732688,0.917000,0.450958,0.471000
49999,0.491735,0.764000,0.689388,0.840000,0.594959,0.804000,0.736224,0.906000,0.452102,0.507000
50999,0.497720,0.791000,0.692600,0.850000,0.599640,0.829000,0.739940,0.922000,0.452520,0.473000
51999,0.501902,0.711000,0.695706,0.851000,0.602392,0.740000,0.742098,0.850000,0.454725,0.565000
52646,0.499100,0.369000,0.699518,0.929000,0.601700,0.536000,0.745329,0.893000,0.459465,0.769000
