# TEST CONFIGURATION BEGIN
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None)
# [HT] HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# [SK] SAMKNNClassifier(ltm_size=0.4, max_window_size=None, min_stm_size=50, n_neighbors=5, stm_size_option='maxACCApprox', use_ltm=True, weighting='distance')
# [HAT] HoeffdingAdaptiveTreeClassifier(binary_split=False, bootstrap_sampling=True, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# [ATF] AdaptiveRandomForestClassifier(binary_split=False, disable_weighted_vote=False, drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='nba', max_byte_size=33554432, max_features=6, memory_estimate_period=2000000, n_estimators=10, nb_threshold=0, no_preprune=False, nominal_attributes=None, performance_metric='acc', random_state=None, remove_poor_atts=False, split_confidence=0.01, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01))
# [AEE] AdditiveExpertEnsembleClassifier(base_estimator=NaiveBayes(nominal_attributes=None), beta=0.8, gamma=0.1, n_estimators=5, pruning='weakest')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=100000, max_time=inf, metrics=['accuracy'], n_wait=1000, output_file='gradual_result.csv', pretrain_size=1000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[HT],current_acc_[HT],mean_acc_[SK],current_acc_[SK],mean_acc_[HAT],current_acc_[HAT],mean_acc_[ATF],current_acc_[ATF],mean_acc_[AEE],current_acc_[AEE]
1000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000
1999,0.491000,0.491000,0.882000,0.882000,0.543000,0.543000,0.912000,0.912000,0.465000,0.465000
2999,0.497500,0.504000,0.883000,0.884000,0.669500,0.796000,0.908500,0.905000,0.472000,0.479000
3999,0.501333,0.509000,0.841333,0.758000,0.661333,0.645000,0.858667,0.759000,0.522333,0.623000
4999,0.512000,0.544000,0.825250,0.777000,0.667750,0.687000,0.843500,0.798000,0.557250,0.662000
5999,0.546000,0.682000,0.819800,0.798000,0.670400,0.681000,0.844000,0.846000,0.582000,0.681000
6999,0.564333,0.656000,0.813000,0.779000,0.670500,0.671000,0.838833,0.813000,0.598833,0.683000
7999,0.588000,0.730000,0.810571,0.796000,0.669143,0.661000,0.836571,0.823000,0.613571,0.702000
8999,0.606750,0.738000,0.808875,0.797000,0.668250,0.662000,0.836375,0.835000,0.621250,0.675000
9999,0.623556,0.758000,0.802556,0.752000,0.668222,0.668000,0.833111,0.807000,0.626333,0.667000
10999,0.612200,0.510000,0.805800,0.835000,0.656900,0.555000,0.828500,0.787000,0.629200,0.655000
11999,0.590818,0.377000,0.818909,0.950000,0.643182,0.506000,0.832182,0.869000,0.625727,0.591000
12999,0.604750,0.758000,0.834000,1.000000,0.650583,0.732000,0.846000,0.998000,0.607833,0.411000
13999,0.613692,0.721000,0.836923,0.872000,0.655077,0.709000,0.853231,0.940000,0.595000,0.441000
14999,0.590857,0.294000,0.814857,0.528000,0.624286,0.224000,0.836214,0.615000,0.579071,0.372000
15999,0.572933,0.322000,0.800400,0.598000,0.601333,0.280000,0.821533,0.616000,0.563600,0.347000
16999,0.558625,0.344000,0.787438,0.593000,0.598625,0.558000,0.809375,0.627000,0.549250,0.334000
17999,0.545294,0.332000,0.777000,0.610000,0.597765,0.584000,0.799882,0.648000,0.539765,0.388000
18999,0.532444,0.314000,0.765167,0.564000,0.594611,0.541000,0.789722,0.617000,0.530611,0.375000
19999,0.527368,0.436000,0.755789,0.587000,0.592316,0.551000,0.783474,0.671000,0.522526,0.377000
20999,0.525050,0.481000,0.747300,0.586000,0.592250,0.591000,0.777000,0.654000,0.515500,0.382000
21999,0.522381,0.469000,0.739667,0.587000,0.592143,0.590000,0.771667,0.665000,0.509000,0.379000
22999,0.516136,0.385000,0.735091,0.639000,0.588409,0.510000,0.763955,0.602000,0.500909,0.331000
23999,0.498739,0.116000,0.743391,0.926000,0.595348,0.748000,0.769522,0.892000,0.488217,0.209000
24148,0.496739,0.118000,0.745043,0.950000,0.597952,0.854000,0.771005,0.950000,0.487148,0.245000
