# TEST CONFIGURATION BEGIN
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None)
# [HT] HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# [SK] SAMKNNClassifier(ltm_size=0.4, max_window_size=None, min_stm_size=50, n_neighbors=5, stm_size_option='maxACCApprox', use_ltm=True, weighting='distance')
# [HAT] HoeffdingAdaptiveTreeClassifier(binary_split=False, bootstrap_sampling=True, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# [ATF] AdaptiveRandomForestClassifier(binary_split=False, disable_weighted_vote=False, drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='nba', max_byte_size=33554432, max_features='auto', memory_estimate_period=2000000, n_estimators=10, nb_threshold=0, no_preprune=False, nominal_attributes=None, performance_metric='acc', random_state=None, remove_poor_atts=False, split_confidence=0.01, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01))
# [AEE] AdditiveExpertEnsembleClassifier(base_estimator=NaiveBayes(nominal_attributes=None), beta=0.8, gamma=0.1, n_estimators=5, pruning='weakest')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=100000, max_time=inf, metrics=['accuracy'], n_wait=1000, output_file='incremental_result.csv', pretrain_size=1000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[HT],current_acc_[HT],mean_acc_[SK],current_acc_[SK],mean_acc_[HAT],current_acc_[HAT],mean_acc_[ATF],current_acc_[ATF],mean_acc_[AEE],current_acc_[AEE]
1000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1999,0.437000,0.437000,0.473000,0.473000,0.453000,0.453000,0.511000,0.511000,0.435000,0.435000
2999,0.476000,0.515000,0.495500,0.518000,0.497500,0.542000,0.561000,0.611000,0.475000,0.515000
3999,0.505333,0.564000,0.510667,0.541000,0.521333,0.569000,0.578333,0.613000,0.504667,0.564000
4999,0.517250,0.553000,0.509000,0.504000,0.531250,0.561000,0.584000,0.601000,0.516500,0.552000
5999,0.522800,0.545000,0.509800,0.513000,0.535800,0.554000,0.580200,0.565000,0.522000,0.544000
6999,0.512000,0.458000,0.504167,0.476000,0.523000,0.459000,0.573167,0.538000,0.511500,0.459000
7999,0.502143,0.443000,0.506000,0.517000,0.512000,0.446000,0.573286,0.574000,0.501286,0.440000
8999,0.493750,0.435000,0.505625,0.503000,0.503375,0.443000,0.575000,0.587000,0.493125,0.436000
9999,0.486889,0.432000,0.509444,0.540000,0.496889,0.445000,0.574444,0.570000,0.486222,0.431000
10999,0.484500,0.463000,0.512100,0.536000,0.494100,0.469000,0.578700,0.617000,0.483800,0.462000
11999,0.480636,0.442000,0.514818,0.542000,0.488909,0.437000,0.577727,0.568000,0.480000,0.442000
12999,0.474000,0.401000,0.517833,0.551000,0.481917,0.405000,0.577417,0.574000,0.473417,0.401000
13999,0.472692,0.457000,0.523000,0.585000,0.480154,0.459000,0.581000,0.624000,0.472154,0.457000
14999,0.471000,0.449000,0.525786,0.562000,0.478143,0.452000,0.583786,0.620000,0.470500,0.449000
15999,0.464667,0.376000,0.525533,0.522000,0.472333,0.391000,0.584533,0.595000,0.464200,0.376000
16999,0.460375,0.396000,0.527563,0.558000,0.477875,0.561000,0.586313,0.613000,0.459937,0.396000
17999,0.457118,0.405000,0.530706,0.581000,0.484235,0.586000,0.589412,0.639000,0.456706,0.405000
